Tax Year,Resident Type,Place of Residence,Country,State,County,Disclosure,Number of All Returns,NY AGI of All Returns (in thousands) *,Tax Liability of All Returns (in thousands) **,Number of Taxable Returns,NY AGI of Taxable Returns (in thousands) *,Tax Liability of Taxable Returns (in thousands) **,Number of Nontaxable Returns,NY AGI of Nontaxable Returns (in thousands) *,Tax Liability of Nontaxable Returns (in thousands) **,Average NY AGI of All Returns,Average Tax of All Returns,Average NY AGI of Taxable Returns,Average Tax of Taxable Returns,Average NY AGI of Nontaxable Returns,County Sort Order
2009,Full-Year Resident,Rockland,United States,New York,Rockland,,"130,738","8,845,595","385,423","88,520","8,619,365","403,971","42,218","226,230",,"67,659","2,948","97,372","4,564","5,359",45
2009,Full-Year Resident,St. Lawrence,United States,New York,St. Lawrence,,"41,319","1,546,546","52,690","25,923","1,413,841","59,986","15,396","132,706",,"37,429","1,275","54,540","2,314","8,620",46
2009,Full-Year Resident,Saratoga,United States,New York,Saratoga,,"101,390","5,778,802","269,143","74,356","5,603,297","277,467","27,034","175,504",,"56,996","2,655","75,358","3,732","6,492",47
2009,Full-Year Resident,Schenectady,United States,New York,Schenectady,,"71,371","3,292,483","129,976","48,433","3,090,767","143,277","22,938","201,715",,"46,132","1,821","63,815","2,958","8,794",48
2009,Full-Year Resident,Schoharie,United States,New York,Schoharie,,"12,047","452,918","16,028","7,771","424,421","17,728","4,276","28,497",,"37,596","1,330","54,616","2,281","6,664",49
2009,Full-Year Resident,Schuyler,United States,New York,Schuyler,,"8,176","294,976","9,477","5,174","267,545","10,792","3,002","27,431",,"36,078","1,159","51,710","2,086","9,138",50
2009,Full-Year Resident,Seneca,United States,New York,Seneca,,"14,514","531,601","17,148","9,220","480,267","19,779","5,294","51,334",,"36,627","1,181","52,090","2,145","9,697",51
2009,Full-Year Resident,Steuben,United States,New York,Steuben,,"41,661","1,641,741","58,684","26,122","1,498,700","65,610","15,539","143,041",,"39,407","1,409","57,373","2,512","9,205",52
2009,Full-Year Resident,Suffolk,United States,New York,Suffolk,,"693,372","46,736,645","2,313,717","494,657","45,279,917","2,380,246","198,715","1,456,729",,"67,405","3,337","91,538","4,812","7,331",53
2009,Full-Year Resident,Sullivan,United States,New York,Sullivan,,"32,796","1,348,912","46,467","20,952","1,236,463","52,095","11,844","112,449",,"41,130","1,417","59,014","2,486","9,494",54
2009,Full-Year Resident,Tioga,United States,New York,Tioga,,"22,741","962,709","33,789","14,882","873,761","36,936","7,859","88,948",,"42,334","1,486","58,713","2,482","11,318",55
2009,Full-Year Resident,Tompkins,United States,New York,Tompkins,,"38,126","1,943,387","86,239","27,442","1,859,319","90,310","10,684","84,068",,"50,973","2,262","67,755","3,291","7,869",56
2009,Full-Year Resident,Ulster,United States,New York,Ulster,,"80,596","3,733,675","152,300","54,893","3,561,010","161,169","25,703","172,666",,"46,326","1,890","64,872","2,936","6,718",57
2009,Full-Year Resident,Warren,United States,New York,Warren,,"31,491","1,332,003","54,351","20,796","1,271,681","58,081","10,695","60,322",,"42,298","1,726","61,150","2,793","5,640",58
2009,Full-Year Resident,Washington,United States,New York,Washington,,"25,616","917,728","28,144","16,570","836,838","32,157","9,046","80,890",,"35,826","1,099","50,503","1,941","8,942",59
2009,Full-Year Resident,Wayne,United States,New York,Wayne,,"42,625","1,700,748","58,147","28,862","1,564,977","64,515","13,763","135,771",,"39,900","1,364","54,223","2,235","9,865",60
2009,Full-Year Resident,Westchester,United States,New York,Westchester,,"434,076","47,056,177","2,791,638","304,158","46,649,794","2,840,115","129,918","406,384",,"108,405","6,431","153,374","9,338","3,128",61
2009,Full-Year Resident,Wyoming,United States,New York,Wyoming,,"17,684","656,689","21,384","11,877","608,312","24,493","5,807","48,377",,"37,135","1,209","51,218","2,062","8,331",62
2009,Full-Year Resident,Yates,United States,New York,Yates,,"10,600","361,153","10,588","6,350","318,053","12,633","4,250","43,100",,"34,071",999,"50,087","1,989","10,141",63
2009,Full-Year Resident,"Total, Counties Outside of New York City",United States,New York,"Total, Counties Outside of New York City",,"4,979,575","294,882,179","13,965,821","3,417,644","284,016,329","14,597,809","1,561,931","10,865,850",,"59,218","2,805","83,103","4,271","6,957",64
2009,Full-Year Resident,NYS Unclassified +,United States,New York,NYS Unclassified +,,210,"13,376",676,139,"13,249",691,71,127,,"63,695","3,219","95,317","4,971","1,789",65
2009,Full-Year Resident,Residence Unknown ++,United States,New York,Residence Unknown ++,,"11,823","4,204,349","339,212","8,066","4,664,992","339,931","3,757","-460,643",,"355,608","28,691","578,353","42,144","-122,609",66
2009,Full-Year Resident,"Grand Total, Full-Year Resident",United States,New York,"Grand Total, Full-Year Resident",,"8,570,474","520,286,026","25,915,093","5,613,546","501,378,098","27,349,436","2,956,928","18,907,928","-1,434,343","60,707","3,024","89,316","4,872","6,394",67
2009,Full-Year Nonresident,Arizona,United States,Alaska,All,,"3,382","1,604,907","10,246","2,193","1,286,006","10,257","1,189","318,901",,"474,544","3,030","586,414","4,677","268,209",102
2009,Full-Year Nonresident,California,United States,California,All,,"30,426","24,508,324","159,720","21,002","20,261,279","161,861","9,424","4,247,045",,"805,506","5,249","964,731","7,707","450,663",104
2009,Full-Year Nonresident,Colorado,United States,Colorado,All,,"3,869","2,145,733","13,261","2,597","1,639,457","14,147","1,272","506,276",,"554,596","3,428","631,289","5,447","398,016",105
2009,Full-Year Nonresident,Connecticut,United States,Connecticut,All,,"76,902","25,097,065","954,747","68,069","24,333,392","955,655","8,833","763,673",,"326,351","12,415","357,481","14,040","86,457",106
2009,Full-Year Nonresident,Delaware,United States,Delaware,All,,"1,691","305,587","5,355","1,255","301,265","5,355",436,"4,322",,"180,714","3,167","240,052","4,267","9,913",107
2009,Full-Year Nonresident,District of Columbia,United States,District of Columbia,All,,"2,481","1,524,902","40,912","1,962","1,364,562","41,162",519,"160,339",,"614,632","16,490","695,495","20,980","308,938",108
2009,Full-Year Nonresident,Florida,United States,Florida,All,,"34,430","13,757,060","159,505","22,048","11,801,533","163,552","12,382","1,955,527",,"399,566","4,633","535,265","7,418","157,933",109
2009,Full-Year Nonresident,Georgia,United States,Georgia,All,,"7,696","2,245,251","21,363","5,137","1,822,712","21,439","2,559","422,540",,"291,743","2,776","354,820","4,173","165,119",110
2009,Full-Year Nonresident,Illinois,United States,Illinois,All,,"10,634","10,135,603","52,361","8,529","7,937,706","53,408","2,105","2,197,896",,"953,132","4,924","930,673","6,262","1,044,131",113
2009,Full-Year Nonresident,Indiana,United States,Indiana,All,,"1,536","589,063","3,597","1,167","658,714","3,633",369,"-69,651",,"383,505","2,342","564,451","3,113","-188,756",114
2009,Full-Year Nonresident,Kansas,United States,Kansas,All,,"1,183","695,028","3,213",733,"386,568","3,230",450,"308,460",,"587,513","2,716","527,378","4,407","685,467",116
2009,Full-Year Nonresident,Kentucky,United States,Kentucky,All,,"1,212","402,743","2,760",799,"334,117","2,760",413,"68,626",,"332,296","2,277","418,169","3,454","166,165",117
2009,Full-Year Nonresident,Louisiana,United States,Louisiana,All,,"1,160","472,149","2,464",750,"335,677","2,470",410,"136,472",,"407,025","2,124","447,569","3,293","332,859",118
2009,Full-Year Nonresident,Maine,United States,Maine,All,,"2,038","429,815","7,291","1,637","306,889","7,384",401,"122,925",,"210,900","3,578","187,470","4,511","306,546",119
2009,Full-Year Nonresident,Maryland,United States,Maryland,All,,"8,017","3,624,599","40,058","5,779","2,866,931","40,096","2,238","757,668",,"452,114","4,997","496,095","6,938","338,547",120
2009,Full-Year Nonresident,Massachusetts,United States,Massachusetts,All,,"18,274","8,045,682","79,064","14,346","6,260,683","80,009","3,928","1,785,000",,"440,280","4,327","436,406","5,577","454,430",121
2009,Full-Year Nonresident,Michigan,United States,Michigan,All,,"4,025","1,689,661","9,236","3,006","1,160,656","9,308","1,019","529,004",,"419,792","2,295","386,113","3,096","519,140",122
2009,Full-Year Nonresident,Minnesota,United States,Minnesota,All,,"2,243","1,019,296","6,072","1,669","888,786","6,336",574,"130,510",,"454,434","2,707","532,526","3,796","227,369",123
2009,Full-Year Nonresident,Missouri,United States,Missouri,All,,"2,105","3,274,332","6,447","1,515","975,015","6,597",590,"2,299,317",,"1,555,502","3,063","643,574","4,354","3,897,147",125
2009,Full-Year Nonresident,Nevada,United States,Nevada,All,,"1,643","690,051","4,731","1,045","572,494","4,745",598,"117,557",,"419,995","2,879","547,841","4,541","196,584",128
2009,Full-Year Nonresident,New Hampshire,United States,New Hampshire,All,,"2,642","787,829","7,002","2,009","633,998","7,766",633,"153,831",,"298,194","2,650","315,579","3,866","243,019",129
2009,Full-Year Nonresident,New Jersey,United States,New Jersey,All,,"375,459","62,419,348","2,518,436","339,436","60,464,925","2,521,103","36,023","1,954,423",,"166,248","6,708","178,134","7,427","54,255",130
2009,Full-Year Nonresident,North Carolina,United States,North Carolina,All,,"9,384","2,497,576","24,059","5,823","2,192,299","24,153","3,561","305,276",,"266,153","2,564","376,490","4,148","85,728",132
2009,Full-Year Nonresident,Ohio,United States,Ohio,All,,"5,911","2,324,989","15,995","4,401","2,050,954","16,024","1,510","274,035",,"393,333","2,706","466,020","3,641","181,480",134
2009,Full-Year Nonresident,Oregon,United States,Oregon,All,,"1,340","670,147","2,234",895,"643,572","2,234",445,"26,575",,"500,110","1,667","719,075","2,496","59,719",136
2009,Full-Year Nonresident,Pennsylvania,United States,Pennsylvania,All,,"56,542","9,541,605","169,989","46,920","8,646,894","170,614","9,622","894,711",,"168,753","3,006","184,290","3,636","92,986",137
2009,Full-Year Nonresident,Rhode Island,United States,Rhode Island,All,,"2,208","545,693","6,557","1,644","460,537","6,565",564,"85,156",,"247,144","2,970","280,132","3,993","150,986",138
2009,Full-Year Nonresident,South Carolina,United States,South Carolina,All,,"3,881","689,351","12,037","2,358","590,642","12,230","1,523","98,709",,"177,622","3,102","250,484","5,187","64,812",139
2009,Full-Year Nonresident,Tennessee,United States,Tennessee,All,,"2,258","1,376,975","5,007","1,539","869,483","5,052",719,"507,491",,"609,821","2,217","564,966","3,283","705,829",141
2009,Full-Year Nonresident,Texas,United States,Texas,All,,"9,600","8,288,382","45,017","6,903","4,649,864","45,657","2,697","3,638,519",,"863,373","4,689","673,600","6,614","1,349,099",142
2009,Full-Year Nonresident,Utah,United States,Utah,All,,"1,072","350,123","3,617",741,"368,756","3,645",331,"-18,633",,"326,607","3,374","497,646","4,919","-56,293",143
2009,Full-Year Nonresident,Vermont,United States,Vermont,All,,"5,038","636,840","10,143","3,977","515,949","10,272","1,061","120,891",,"126,407","2,013","129,733","2,583","113,941",144
2009,Full-Year Nonresident,Virginia,United States,Virginia,All,,"10,460","3,967,854","45,006","7,285","3,670,394","45,197","3,175","297,460",,"379,336","4,303","503,829","6,204","93,688",145
2009,Full-Year Nonresident,Washington,United States,Washington,All,,"2,827","5,208,531","7,895","1,770","4,768,012","8,126","1,057","440,519",,"1,842,423","2,793","2,693,792","4,591","416,763",146
2009,Full-Year Nonresident,Wisconsin,United States,Wisconsin,All,,"1,647","817,407","4,309","1,230","863,587","4,348",417,"-46,180",,"496,301","2,616","702,103","3,535","-110,743",148
2009,Full-Year Nonresident,All Other States,United States,All Other States,All,,"6,997","231,810","12,396","4,376","175,097","12,691","2,621","560,004",,"33,130","1,772","40,013","2,900","213,660",150
2009,Full-Year Nonresident,Canada,Canada,Not Applicable,Not Applicable,,"3,567","487,883","12,975","2,613","488,828","12,976",954,-945,,"136,777","3,638","187,075","4,966",-991,200
2009,Full-Year Nonresident,China,China,Not Applicable,Not Applicable,,"1,555","561,104","9,530",948,"511,366","9,530",607,"49,738",,"360,839","6,129","539,416","10,053","81,941",201
2009,Full-Year Nonresident,Germany,Germany,Not Applicable,Not Applicable,,"7,533","170,258","6,666",781,"177,488","6,675","6,752","-7,230",,"22,602",885,"227,257","8,547","-1,071",203
2009,Full-Year Nonresident,Ireland,Ireland,Not Applicable,Not Applicable,,"1,397","36,251",290,237,"20,379",509,"1,160","15,872",,"25,949",208,"85,987","2,148","13,683",205
2009,Full-Year Nonresident,United Kingdom,United Kingdom,Not Applicable,Not Applicable,,"3,840","3,521,685","50,725","2,272","3,436,600","50,725","1,568","85,084",,"917,105","13,210","1,512,588","22,326","54,263",212
2009,Full-Year Nonresident,All Other Countries +++,All Other Countries +++,Not Applicable,Not Applicable,,"9,055","2,784,387","52,271","4,953","1,916,891","52,275","4,102","867,495",,"307,497","5,773","387,016","10,554","211,481",213
2009,Full-Year Nonresident,Residence Unknown ++++,Residence Unknown ++++,Not Applicable,Not Applicable,,"29,032","5,906,907","136,993","18,030","5,350,747","137,758","11,002","556,160",,"203,462","4,719","296,769","7,640","50,551",214
2009,Full-Year Nonresident,"Grand Total, Full-Year Nonresident",All,All - Excluding New York,"Grand Total, Full-Year Nonresident",,"771,066","218,855,344","4,743,864","627,501","191,030,155","4,761,846","143,565","27,825,189","-17,982","283,835","6,152","304,430","7,589","193,816",215
2009,Part-Year Resident,"Grand Total, Part-Year Resident",All,All - Excluding New York,"Grand Total, Part-Year Resident",,"183,216","14,051,286","526,146","139,968","13,402,201","532,568","43,248","649,086","-6,423","76,692","2,872","95,752","3,805","15,008",250
2009,"Grand Total, Total","Grand Total, Total",All,All,"Grand Total, Total",,"9,524,756","753,192,656","31,185,103","6,381,015","705,810,453","32,643,851","3,143,741","47,382,202","-1,458,748","79,077","3,274","110,611","5,116","15,072",299
2008,Full-Year Resident,New York City - Bronx,United States,New York,Bronx,,"574,745","17,604,768","409,176","297,027","14,655,171","575,136","277,718","2,949,597",,"30,631",712,"49,340","1,936","10,621",1
2008,Full-Year Resident,New York City - Kings,United States,New York,Kings,,"1,024,533","44,147,289","1,598,746","612,347","40,261,245","1,819,697","412,186","3,886,044",,"43,090","1,560","65,749","2,972","9,428",2
2008,Full-Year Resident,New York City - Manhattan,United States,New York,Manhattan,,"790,904","137,735,072","8,094,442","559,974","140,162,009","8,183,371","230,930","-2,426,937",,"174,149","10,234","250,301","14,614","-10,509",3
2008,Full-Year Resident,New York City - Queens,United States,New York,Queens,,"990,356","40,815,068","1,462,999","616,563","37,237,529","1,618,956","373,793","3,577,539",,"41,213","1,477","60,395","2,626","9,571",4
2008,Full-Year Resident,New York City - Richmond,United States,New York,Richmond,,"200,577","11,349,070","461,284","141,338","10,865,784","481,122","59,239","483,286",,"56,582","2,300","76,878","3,404","8,158",5
2008,Full-Year Resident,"Total, New York City",United States,New York,"Total, New York City",,"3,581,115","251,651,265","12,026,647","2,227,249","243,181,737","12,678,282","1,353,866","8,469,528",,"70,272","3,358","109,185","5,692","6,256",6
2008,Full-Year Resident,Albany,United States,New York,Albany,,"140,036","7,287,001","315,490","100,341","6,967,916","329,641","39,695","319,085",,"52,037","2,253","69,442","3,285","8,038",7
2008,Full-Year Resident,Allegany,United States,New York,Allegany,,"18,412","676,928","21,275","11,660","612,544","23,946","6,752","64,384",,"36,766","1,155","52,534","2,054","9,536",8
2008,Full-Year Resident,Broome,United States,New York,Broome,,"88,531","3,746,334","134,500","59,426","3,432,856","149,772","29,105","313,478",,"42,317","1,519","57,767","2,520","10,771",9
2008,Full-Year Resident,Cattaraugus,United States,New York,Cattaraugus,,"33,558","1,202,702","37,203","21,402","1,081,409","42,122","12,156","121,293",,"35,840","1,109","50,528","1,968","9,978",10
2008,Full-Year Resident,Cayuga,United States,New York,Cayuga,,"32,833","1,289,257","44,305","22,244","1,189,333","48,882","10,589","99,925",,"39,267","1,349","53,468","2,198","9,437",11
2008,Full-Year Resident,Chautauqua,United States,New York,Chautauqua,,"56,168","2,024,144","62,691","35,118","1,815,074","71,593","21,050","209,070",,"36,037","1,116","51,685","2,039","9,932",12
2008,Full-Year Resident,Chemung,United States,New York,Chemung,,"37,672","1,580,513","58,016","24,625","1,459,121","63,069","13,047","121,391",,"41,955","1,540","59,254","2,561","9,304",13
2008,Full-Year Resident,Chenango,United States,New York,Chenango,,"21,750","761,004","24,267","13,892","698,899","27,610","7,858","62,105",,"34,989","1,116","50,309","1,987","7,903",14
2008,Full-Year Resident,Clinton,United States,New York,Clinton,,"35,306","1,402,642","50,196","24,107","1,308,495","54,120","11,199","94,147",,"39,728","1,422","54,279","2,245","8,407",15
2008,Full-Year Resident,Columbia,United States,New York,Columbia,,"27,846","1,356,658","54,580","19,049","1,302,519","57,380","8,797","54,139",,"48,720","1,960","68,377","3,012","6,154",16
2008,Full-Year Resident,Cortland,United States,New York,Cortland,,"19,724","768,294","25,514","13,335","703,846","28,622","6,389","64,448",,"38,952","1,294","52,782","2,146","10,087",17
2008,Full-Year Resident,Delaware,United States,New York,Delaware,,"18,853","702,645","24,189","11,718","646,701","26,628","7,135","55,944",,"37,270","1,283","55,189","2,272","7,841",18
2008,Full-Year Resident,Dutchess,United States,New York,Dutchess,,"128,750","7,938,399","344,826","94,693","7,663,579","354,751","34,057","274,820",,"61,657","2,678","80,931","3,746","8,069",19
2008,Full-Year Resident,Erie,United States,New York,Erie,,"410,762","19,015,634","771,161","282,937","17,960,008","817,508","127,825","1,055,626",,"46,294","1,877","63,477","2,889","8,258",20
2008,Full-Year Resident,Essex,United States,New York,Essex,,"16,072","621,134","21,665","10,496","584,065","23,587","5,576","37,069",,"38,647","1,348","55,646","2,247","6,648",21
2008,Full-Year Resident,Franklin,United States,New York,Franklin,,"19,280","678,462","21,604","12,260","618,389","24,718","7,020","60,073",,"35,190","1,121","50,440","2,016","8,557",22
2008,Full-Year Resident,Fulton,United States,New York,Fulton,,"23,378","853,912","27,829","15,215","777,995","31,161","8,163","75,917",,"36,526","1,190","51,133","2,048","9,300",23
2008,Full-Year Resident,Genesee,United States,New York,Genesee,,"27,317","1,092,109","38,352","18,723","1,018,622","41,597","8,594","73,487",,"39,979","1,404","54,405","2,222","8,551",24
2008,Full-Year Resident,Greene,United States,New York,Greene,,"21,266","888,499","33,594","14,319","836,105","35,576","6,947","52,394",,"41,780","1,580","58,391","2,485","7,542",25
2008,Full-Year Resident,Hamilton,United States,New York,Hamilton,,"2,343","86,241","3,104","1,465","79,574","3,276",878,"6,667",,"36,808","1,325","54,317","2,236","7,593",26
2008,Full-Year Resident,Herkimer,United States,New York,Herkimer,,"26,414","941,049","29,055","17,298","853,126","33,065","9,116","87,922",,"35,627","1,100","49,319","1,911","9,645",27
2008,Full-Year Resident,Jefferson,United States,New York,Jefferson,,"40,607","1,563,261","52,015","26,663","1,409,393","58,029","13,944","153,869",,"38,497","1,281","52,860","2,176","11,035",28
2008,Full-Year Resident,Lewis,United States,New York,Lewis,,"10,160","375,081","11,623","6,700","339,538","13,256","3,460","35,542",,"36,917","1,144","50,677","1,979","10,272",29
2008,Full-Year Resident,Livingston,United States,New York,Livingston,,"26,829","1,110,705","39,869","18,609","1,040,514","43,351","8,220","70,191",,"41,399","1,486","55,915","2,330","8,539",30
2008,Full-Year Resident,Madison,United States,New York,Madison,,"28,682","1,316,941","49,351","19,990","1,240,350","54,242","8,692","76,591",,"45,915","1,721","62,049","2,713","8,812",31
2008,Full-Year Resident,Monroe,United States,New York,Monroe,,"335,835","16,469,896","670,097","231,613","15,537,445","712,500","104,222","932,451",,"49,042","1,995","67,084","3,076","8,947",32
2008,Full-Year Resident,Montgomery,United States,New York,Montgomery,,"24,201","879,117","27,839","15,696","797,103","31,981","8,505","82,014",,"36,326","1,150","50,784","2,038","9,643",33
2008,Full-Year Resident,Nassau,United States,New York,Nassau,,"645,676","57,999,979","2,916,326","469,008","57,385,861","2,964,164","176,668","614,118",,"89,828","4,517","122,356","6,320","3,476",34
2008,Full-Year Resident,Niagara,United States,New York,Niagara,,"98,697","3,943,622","143,007","67,079","3,667,746","154,049","31,618","275,875",,"39,957","1,449","54,678","2,297","8,725",35
2008,Full-Year Resident,Oneida,United States,New York,Oneida,,"102,053","4,081,812","146,821","67,176","3,776,251","161,345","34,877","305,561",,"39,997","1,439","56,214","2,402","8,761",36
2008,Full-Year Resident,Onondaga,United States,New York,Onondaga,,"206,522","10,288,868","414,400","143,385","9,655,501","444,963","63,137","633,367",,"49,820","2,007","67,340","3,103","10,032",37
2008,Full-Year Resident,Ontario,United States,New York,Ontario,,"48,667","2,307,893","91,698","34,084","2,178,217","96,920","14,583","129,677",,"47,422","1,884","63,907","2,844","8,892",38
2008,Full-Year Resident,Orange,United States,New York,Orange,,"155,830","8,924,245","335,077","110,714","8,457,837","353,909","45,116","466,408",,"57,269","2,150","76,394","3,197","10,338",39
2008,Full-Year Resident,Orleans,United States,New York,Orleans,,"17,730","635,301","18,653","11,583","573,972","22,359","6,147","61,330",,"35,832","1,052","49,553","1,930","9,977",40
2008,Full-Year Resident,Oswego,United States,New York,Oswego,,"50,779","1,994,825","70,074","34,040","1,850,002","76,526","16,739","144,823",,"39,284","1,380","54,348","2,248","8,652",41
2008,Full-Year Resident,Otsego,United States,New York,Otsego,,"25,606","1,033,964","38,060","16,655","961,338","41,239","8,951","72,626",,"40,380","1,486","57,721","2,476","8,114",42
2008,Full-Year Resident,Putnam,United States,New York,Putnam,,"45,335","3,634,368","167,709","34,580","3,557,769","169,870","10,755","76,599",,"80,167","3,699","102,885","4,912","7,122",43
2008,Full-Year Resident,Rensselaer,United States,New York,Rensselaer,,"72,743","3,348,507","129,565","51,796","3,161,822","137,239","20,947","186,685",,"46,032","1,781","61,044","2,650","8,912",44
2008,Full-Year Resident,Rockland,United States,New York,Rockland,,"131,321","9,699,997","404,260","91,225","9,395,824","419,454","40,096","304,173",,"73,865","3,078","102,996","4,598","7,586",45
2008,Full-Year Resident,St. Lawrence,United States,New York,St. Lawrence,,"41,711","1,580,854","53,668","26,857","1,445,517","59,747","14,854","135,337",,"37,900","1,287","53,823","2,225","9,111",46
2008,Full-Year Resident,Saratoga,United States,New York,Saratoga,,"101,168","5,929,610","265,246","75,458","5,746,239","272,478","25,710","183,370",,"58,612","2,622","76,151","3,611","7,132",47
2008,Full-Year Resident,Schenectady,United States,New York,Schenectady,,"71,382","3,333,931","131,930","49,495","3,136,752","140,540","21,887","197,179",,"46,705","1,848","63,375","2,839","9,009",48
2008,Full-Year Resident,Schoharie,United States,New York,Schoharie,,"12,256","467,676","16,200","8,090","435,547","17,661","4,166","32,129",,"38,159","1,322","53,838","2,183","7,712",49
2008,Full-Year Resident,Schuyler,United States,New York,Schuyler,,"8,205","301,663","9,822","5,409","275,457","10,968","2,796","26,206",,"36,766","1,197","50,926","2,028","9,373",50
2008,Full-Year Resident,Seneca,United States,New York,Seneca,,"14,602","549,520","18,204","9,521","500,677","20,434","5,081","48,844",,"37,633","1,247","52,587","2,146","9,613",51
2008,Full-Year Resident,Steuben,United States,New York,Steuben,,"41,769","1,769,259","65,340","27,092","1,630,655","71,241","14,677","138,604",,"42,358","1,564","60,190","2,630","9,444",52
2008,Full-Year Resident,Suffolk,United States,New York,Suffolk,,"695,211","51,639,690","2,427,676","505,305","50,103,052","2,486,991","189,906","1,536,639",,"74,279","3,492","99,154","4,922","8,092",53
2008,Full-Year Resident,Sullivan,United States,New York,Sullivan,,"32,835","1,386,339","48,120","21,508","1,280,974","52,995","11,327","105,365",,"42,221","1,466","59,558","2,464","9,302",54
2008,Full-Year Resident,Tioga,United States,New York,Tioga,,"22,912","984,336","34,875","15,560","905,575","37,415","7,352","78,761",,"42,962","1,522","58,199","2,405","10,713",55
2008,Full-Year Resident,Tompkins,United States,New York,Tompkins,,"38,079","2,087,666","91,299","28,109","2,003,912","94,739","9,970","83,754",,"54,825","2,398","71,291","3,370","8,401",56
2008,Full-Year Resident,Ulster,United States,New York,Ulster,,"81,142","3,889,613","156,160","56,565","3,716,945","163,884","24,577","172,668",,"47,936","1,925","65,711","2,897","7,026",57
2008,Full-Year Resident,Warren,United States,New York,Warren,,"31,653","1,361,372","53,608","21,527","1,299,385","56,659","10,126","61,987",,"43,009","1,694","60,361","2,632","6,122",58
2008,Full-Year Resident,Washington,United States,New York,Washington,,"25,751","946,075","29,394","17,023","862,969","32,852","8,728","83,106",,"36,739","1,141","50,694","1,930","9,522",59
2008,Full-Year Resident,Wayne,United States,New York,Wayne,,"42,822","1,742,343","60,792","29,713","1,617,587","66,227","13,109","124,757",,"40,688","1,420","54,440","2,229","9,517",60
2008,Full-Year Resident,Westchester,United States,New York,Westchester,,"437,063","54,932,654","2,858,326","315,165","54,256,171","2,895,508","121,898","676,483",,"125,686","6,540","172,152","9,187","5,550",61
2008,Full-Year Resident,Wyoming,United States,New York,Wyoming,,"17,699","691,494","22,805","12,234","635,054","25,410","5,465","56,440",,"39,070","1,288","51,909","2,077","10,328",62
2008,Full-Year Resident,Yates,United States,New York,Yates,,"10,614","374,235","11,033","6,538","329,425","12,842","4,076","44,810",,"35,259","1,039","50,386","1,964","10,994",63
2008,Full-Year Resident,"Total, Counties Outside of New York City",United States,New York,"Total, Counties Outside of New York City",,"5,000,418","318,490,273","14,224,358","3,506,088","306,778,549","14,762,610","1,494,330","11,711,723",,"63,693","2,845","87,499","4,211","7,837",64
2008,Full-Year Resident,NYS Unclassified +,United States,New York,NYS Unclassified +,,296,"48,738","2,896",203,"48,310","2,905",93,428,,"164,655","9,784","237,980","14,310","4,602",65
2008,Full-Year Resident,Residence Unknown ++,United States,New York,Residence Unknown ++,,"5,411","1,205,891","70,702","3,579","1,272,930","71,001","1,832","-67,039",,"222,859","13,066","355,666","19,838","-36,593",66
2008,Full-Year Resident,"Grand Total, Full-Year Resident",United States,New York,"Grand Total, Full-Year Resident",,"8,587,240","571,396,167","26,324,603","5,737,119","551,281,527","27,514,798","2,850,121","20,114,640","-1,190,195","66,540","3,066","96,090","4,796","7,057",67
2008,Full-Year Nonresident,Alabama,United States,Alabama,All,,"1,250","1,111,499","2,497",863,"528,499","2,503",387,"583,000",,"889,199","1,998","612,397","2,900","1,506,460",100
2008,Full-Year Nonresident,Arizona,United States,Alaska,All,,"3,352","1,872,712","8,825","2,335","1,719,199","8,834","1,017","153,513",,"558,685","2,633","736,274","3,783","150,947",102
2008,Full-Year Nonresident,California,United States,California,All,,"30,321","30,838,535","144,925","21,444","23,577,782","146,917","8,877","7,260,753",,"1,017,069","4,780","1,099,505","6,851","817,929",104
2008,Full-Year Nonresident,Connecticut,United States,Connecticut,All,,"76,989","32,691,824","983,791","68,992","29,539,844","985,139","7,997","3,151,980",,"424,630","12,778","428,163","14,279","394,145",105
2008,Full-Year Nonresident,Colorado,United States,Colorado,All,,"3,771","1,661,073","14,239","2,667","1,342,851","14,251","1,104","318,222",,"440,486","3,776","503,506","5,343","288,245",105
2008,Full-Year Nonresident,Delaware,United States,Delaware,All,,"1,700","421,961","4,955","1,314","381,720","5,050",386,"40,242",,"248,212","2,915","290,502","3,843","104,254",107
2008,Full-Year Nonresident,District of Columbia,United States,District of Columbia,All,,"2,330","1,939,262","40,481","1,824","1,685,263","40,724",506,"253,999",,"832,301","17,374","923,938","22,327","501,974",108
2008,Full-Year Nonresident,Florida,United States,Florida,All,,"34,989","18,027,183","204,716","23,327","13,365,253","206,840","11,662","4,661,929",,"515,224","5,851","572,952","8,867","399,754",109
2008,Full-Year Nonresident,Georgia,United States,Georgia,All,,"7,920","2,650,321","19,521","5,463","2,099,300","19,582","2,457","551,021",,"334,636","2,465","384,276","3,584","224,266",110
2008,Full-Year Nonresident,Illinois,United States,Illinois,All,,"10,844","12,514,093","51,693","8,745","9,059,654","52,262","2,099","3,454,439",,"1,154,011","4,767","1,035,981","5,976","1,645,755",113
2008,Full-Year Nonresident,Indiana,United States,Indiana,All,,"1,722","648,741","3,668","1,305","656,407","3,668",417,"-7,666",,"376,737","2,130","502,994","2,811","-18,384",114
2008,Full-Year Nonresident,Kansas,United States,Kansas,All,,"1,234","1,187,451","5,014",836,"679,227","5,014",398,"508,223",,"962,278","4,063","812,472","5,998","1,276,942",116
